District Name,Latitude,Longitude
Quận 1,10.777369,106.696646
Quận 2,10.782377,106.754713
Quận 3,10.780681,106.680866
Quận 4,10.758388,106.702021
Quận 5,10.755418,106.667333
Quận 6,10.747072,106.63576
Quận 7,10.734714,106.725938
Quận 8,10.730639,106.637651
Quận 9,10.826519,106.816712
Quận 10,10.772549,106.669084
Quận 11,10.764343,106.646925
Quận 12,10.866624,106.657436
Bình Tân,10.770324,106.599978
Bình Thạnh,10.812639,106.714579
Gò Vấp,10.837427,106.666492
Phú Nhuận,10.799939,106.677777
Tân Bình,10.810796,106.653959
Tân Phú,10.790275,106.628605
Thủ Đức,10.857137,106.747156
Bình Chánh,10.724583,106.575197
Cần Giờ,10.535622,106.854503
Củ Chi,11.008502,106.518123
Hóc Môn,10.891521,106.600013
Nhà Bè,10.650182,106.729357
